threshold,precision,recall,f1,flagged
2.0,0.004484304932735426,0.043478260869565216,0.008130081300813009,223
2.05,0.005681818181818182,0.043478260869565216,0.010050251256281407,176
2.1000000000000005,0.0070921985815602835,0.043478260869565216,0.012195121951219513,141
2.1500000000000004,0.008547008547008548,0.043478260869565216,0.014285714285714285,117
2.2,0.010416666666666666,0.043478260869565216,0.01680672268907563,96
2.25,0.013888888888888888,0.043478260869565216,0.021052631578947368,72
2.3,0.017543859649122806,0.043478260869565216,0.025,57
2.3500000000000005,0.023255813953488372,0.043478260869565216,0.030303030303030304,43
2.4000000000000004,0.02564102564102564,0.043478260869565216,0.03225806451612903,39
2.45,0.030303030303030304,0.043478260869565216,0.03571428571428571,33
2.5,0.041666666666666664,0.043478260869565216,0.0425531914893617,24
2.55,0.045454545454545456,0.043478260869565216,0.044444444444444446,22
2.6000000000000005,0.0,0.0,0.0,18
2.6500000000000004,0.0,0.0,0.0,13
2.7,0.0,0.0,0.0,11
2.75,0.0,0.0,0.0,11
2.8000000000000007,0.0,0.0,0.0,9
2.8500000000000005,0.0,0.0,0.0,7
2.9000000000000004,0.0,0.0,0.0,6
2.95,0.0,0.0,0.0,5
3.0,0.0,0.0,0.0,5
3.0500000000000007,0.0,0.0,0.0,3
3.1000000000000005,0.0,0.0,0.0,3
3.1500000000000004,0.0,0.0,0.0,3
3.2,0.0,0.0,0.0,3
3.25,0.0,0.0,0.0,2
3.3000000000000007,0.0,0.0,0.0,0
3.3500000000000005,0.0,0.0,0.0,0
3.4000000000000004,0.0,0.0,0.0,0
3.45,0.0,0.0,0.0,0
3.5,0.0,0.0,0.0,0
3.5500000000000007,0.0,0.0,0.0,0
3.6000000000000005,0.0,0.0,0.0,0
3.6500000000000004,0.0,0.0,0.0,0
3.7,0.0,0.0,0.0,0
3.75,0.0,0.0,0.0,0
3.8000000000000007,0.0,0.0,0.0,0
3.8500000000000005,0.0,0.0,0.0,0
3.9000000000000004,0.0,0.0,0.0,0
3.95,0.0,0.0,0.0,0
4.0,0.0,0.0,0.0,0
